service_id,date,exception_type
2020-COMBNXT-Weekday-02,20210308,2
2020-COMBNXT-Weekday-02,20210402,2
2020-COMBNXT-Weekday-02,20210405,2
2020-COMBNXT-Weekday-02,20210406,2
2020-COMBNXT-Weekday-02,20210407,2
2020-COMBNXT-Weekday-02,20210408,2
2020-COMBNXT-Weekday-02,20210409,2
2020-COMBNXT-Weekday-02,20210412,2
2020-COMBNXT-Weekday-02,20210413,2
2020-COMBNXT-Weekday-02,20210414,2
2020-COMBNXT-Weekday-02,20210415,2
2020-COMBNXT-Weekday-02,20210416,2
2020-COMBNXT-Weekday-02,20210426,2
2020-COMBNXT-Weekday-02,20210531,2
2020-COMBNXT-Weekday-02,20210614,2
2020-COMBNXT-Saturday-05,20210403,2
2020-COMBNXT-Saturday-05,20210410,2
2020-COMBNXT-Sunday-05,20210411,2
2020-COMBNXT-Sunday-05,20210308,1
2020-COMBNXT-Sunday-05,20210402,1
2020-COMBNXT-Sunday-05,20210403,1
2020-COMBNXT-Sunday-05,20210405,1
2020-COMBNXT-Sunday-05,20210426,1
2020-COMBNXT-Sunday-05,20210531,1
2020-COMBNXT-Sunday-05,20210614,1
2020-COMBVAC-Weekday-02,20210419,2
2020-COMBVAC-Weekday-02,20210420,2
2020-COMBVAC-Weekday-02,20210421,2
2020-COMBVAC-Weekday-02,20210422,2
2020-COMBVAC-Weekday-02,20210423,2
2020-COMBVAC-Weekday-02,20210426,2
2020-COMBVAC-Weekday-02,20210427,2
2020-COMBVAC-Weekday-02,20210428,2
2020-COMBVAC-Weekday-02,20210429,2
2020-COMBVAC-Weekday-02,20210430,2
2020-COMBVAC-Weekday-02,20210503,2
2020-COMBVAC-Weekday-02,20210504,2
2020-COMBVAC-Weekday-02,20210505,2
2020-COMBVAC-Weekday-02,20210506,2
2020-COMBVAC-Weekday-02,20210507,2
2020-COMBVAC-Weekday-02,20210510,2
2020-COMBVAC-Weekday-02,20210511,2
2020-COMBVAC-Weekday-02,20210512,2
2020-COMBVAC-Weekday-02,20210513,2
2020-COMBVAC-Weekday-02,20210514,2
2020-COMBVAC-Weekday-02,20210517,2
2020-COMBVAC-Weekday-02,20210518,2
2020-COMBVAC-Weekday-02,20210519,2
2020-COMBVAC-Weekday-02,20210520,2
2020-COMBVAC-Weekday-02,20210521,2
2020-COMBVAC-Weekday-02,20210524,2
2020-COMBVAC-Weekday-02,20210525,2
2020-COMBVAC-Weekday-02,20210526,2
2020-COMBVAC-Weekday-02,20210527,2
2020-COMBVAC-Weekday-02,20210528,2
2020-COMBVAC-Weekday-02,20210531,2
2020-COMBVAC-Weekday-02,20210601,2
2020-COMBVAC-Weekday-02,20210602,2
2020-COMBVAC-Weekday-02,20210603,2
2020-COMBVAC-Weekday-02,20210604,2
2020-COMBVAC-Weekday-02,20210607,2
2020-COMBVAC-Weekday-02,20210608,2
2020-COMBVAC-Weekday-02,20210609,2
2020-COMBVAC-Weekday-02,20210610,2
2020-COMBVAC-Weekday-02,20210611,2
2020-COMBVAC-Weekday-02,20210614,2
2020-COMBVAC-Weekday-02,20210615,2
2020-COMBVAC-Weekday-02,20210616,2
2020-COMBVAC-Weekday-02,20210617,2
2020-COMBVAC-Weekday-02,20210618,2
2020-COMBVAC-Weekday-02,20210621,2
2020-COMBVAC-Weekday-02,20210622,2
2020-COMBVAC-Weekday-02,20210623,2
2020-COMBVAC-Weekday-02,20210624,2
2020-COMBVAC-Weekday-02,20210625,2
2020-COMBNXT-Saturday-04,20210417,2
2020-COMBNXT-Saturday-04,20210424,2
2020-COMBNXT-Saturday-04,20210501,2
2020-COMBNXT-Saturday-04,20210508,2
2020-COMBNXT-Saturday-04,20210515,2
2020-COMBNXT-Saturday-04,20210522,2
2020-COMBNXT-Saturday-04,20210529,2
2020-COMBNXT-Saturday-04,20210605,2
2020-COMBNXT-Saturday-04,20210612,2
2020-COMBNXT-Saturday-04,20210619,2
2020-COMBNXT-Sunday-04,20210418,2
2020-COMBNXT-Sunday-04,20210425,2
2020-COMBNXT-Sunday-04,20210502,2
2020-COMBNXT-Sunday-04,20210509,2
2020-COMBNXT-Sunday-04,20210516,2
2020-COMBNXT-Sunday-04,20210523,2
2020-COMBNXT-Sunday-04,20210530,2
2020-COMBNXT-Sunday-04,20210606,2
2020-COMBNXT-Sunday-04,20210613,2
2020-COMBNXT-Sunday-04,20210620,2
