route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
3-10534,2020-COMBNXT-Weekday-02,42856944-2020-COMBNXT-Weekday-02,Spence,1,30279,1,1
3-10534,2020-COMBNXT-Weekday-02,42856945-2020-COMBNXT-Weekday-02,Spence,1,30279,1,1
3-10534,2020-COMBNXT-Weekday-02,42856946-2020-COMBNXT-Weekday-02,Spence,1,30279,1,1
3-10534,2020-COMBNXT-Weekday-02,42856947-2020-COMBNXT-Weekday-02,Spence,1,30279,1,1
3-10534,2020-COMBNXT-Weekday-02,42856948-2020-COMBNXT-Weekday-02,Spence,1,30279,1,1
3-10534,2020-COMBNXT-Weekday-02,42856949-2020-COMBNXT-Weekday-02,Spence,1,30279,1,1
3-10534,2020-COMBNXT-Weekday-02,42856950-2020-COMBNXT-Weekday-02,Spence,1,30279,1,1
3-10534,2020-COMBNXT-Weekday-02,42856951-2020-COMBNXT-Weekday-02,Spence,1,30279,1,1
3-10534,2020-COMBNXT-Weekday-02,42856952-2020-COMBNXT-Weekday-02,Spence,1,30279,1,1
3-10534,2020-COMBNXT-Weekday-02,42856953-2020-COMBNXT-Weekday-02,Spence,1,30279,1,1
3-10534,2020-COMBNXT-Weekday-02,42856954-2020-COMBNXT-Weekday-02,Spence,1,30279,1,1
3-10534,2020-COMBNXT-Weekday-02,42856955-2020-COMBNXT-Weekday-02,Spence,1,30279,1,1
3-10534,2020-COMBNXT-Weekday-02,42856956-2020-COMBNXT-Weekday-02,Spence,1,30279,1,1
3-10534,2020-COMBNXT-Weekday-02,42856957-2020-COMBNXT-Weekday-02,Spence,1,30279,1,1
3-10534,2020-COMBNXT-Weekday-02,42856958-2020-COMBNXT-Weekday-02,Spence,1,30279,1,1
3-10534,2020-COMBNXT-Weekday-02,42856959-2020-COMBNXT-Weekday-02,Spence,1,30279,1,1
3-10534,2020-COMBNXT-Weekday-02,42856960-2020-COMBNXT-Weekday-02,Spence,1,30279,1,1
3-10534,2020-COMBNXT-Weekday-02,42856961-2020-COMBNXT-Weekday-02,Spence,1,30279,1,1
3-10534,2020-COMBNXT-Weekday-02,42856962-2020-COMBNXT-Weekday-02,Spence,1,30279,1,1
3-10534,2020-COMBNXT-Weekday-02,42856963-2020-COMBNXT-Weekday-02,Spence,1,30279,1,1
58-10534,2020-COMBNXT-Weekday-02,42856964-2020-COMBNXT-Weekday-02,Woden,1,580305,1,1
5-10534,2020-COMBNXT-Weekday-02,42856965-2020-COMBNXT-Weekday-02,Lanyon,0,50248,1,1
58-10534,2020-COMBNXT-Weekday-02,42856969-2020-COMBNXT-Weekday-02,City,0,580257,1,1
25-10534,2020-COMBNXT-Weekday-02,42856974-2020-COMBNXT-Weekday-02,Taylor Loop,1,250154,1,1
24-10534,2020-COMBNXT-Weekday-02,42856975-2020-COMBNXT-Weekday-02,Gungahlin Place,1,240145,1,1
24-10534,2020-COMBNXT-Weekday-02,42856976-2020-COMBNXT-Weekday-02,Gungahlin Place,1,240145,1,1
24-10534,2020-COMBNXT-Weekday-02,42856977-2020-COMBNXT-Weekday-02,Gungahlin Place,1,240145,1,1
23-10534,2020-COMBNXT-Weekday-02,42856978-2020-COMBNXT-Weekday-02,Gungahlin Place,0,230129,1,1
901-10534,2020-COMBNXT-Weekday-02,42856979-2020-COMBNXT-Weekday-02,Bruce Shuttle,0,9010015,1,1
23-10534,2020-COMBNXT-Weekday-02,42856980-2020-COMBNXT-Weekday-02,Gungahlin Place,0,230129,1,1
24-10534,2020-COMBNXT-Weekday-02,42856981-2020-COMBNXT-Weekday-02,Gungahlin Place,1,240145,1,1
23-10534,2020-COMBNXT-Weekday-02,42856982-2020-COMBNXT-Weekday-02,Gungahlin Place,0,230129,1,1
24-10534,2020-COMBNXT-Weekday-02,42856983-2020-COMBNXT-Weekday-02,Gungahlin Place,1,240145,1,1
24-10534,2020-COMBNXT-Weekday-02,42856984-2020-COMBNXT-Weekday-02,Gungahlin Place,1,240145,1,1
32-10534,2020-COMBNXT-Weekday-02,42856985-2020-COMBNXT-Weekday-02,City,0,320048,1,1
32-10534,2020-COMBNXT-Weekday-02,42856986-2020-COMBNXT-Weekday-02,City,0,320048,1,1
32-10534,2020-COMBNXT-Weekday-02,42856987-2020-COMBNXT-Weekday-02,City,0,320048,1,1
31-10534,2020-COMBNXT-Weekday-02,42856988-2020-COMBNXT-Weekday-02,City,0,310249,1,1
31-10534,2020-COMBNXT-Weekday-02,42856989-2020-COMBNXT-Weekday-02,City,0,310257,1,1
32-10534,2020-COMBNXT-Weekday-02,42856990-2020-COMBNXT-Weekday-02,City,0,320048,1,1
43-10534,2020-COMBNXT-Weekday-02,42856991-2020-COMBNXT-Weekday-02,Spence,1,430157,1,1
32-10534,2020-COMBNXT-Weekday-02,42856992-2020-COMBNXT-Weekday-02,City,0,320048,1,1
30-10534,2020-COMBNXT-Weekday-02,42856993-2020-COMBNXT-Weekday-02,Dickson,0,300226,1,1
32-10534,2020-COMBNXT-Weekday-02,42856994-2020-COMBNXT-Weekday-02,City,0,320048,2,0
32-10534,2020-COMBNXT-Weekday-02,42856995-2020-COMBNXT-Weekday-02,City,0,320048,1,1
30-10534,2020-COMBNXT-Weekday-02,42856996-2020-COMBNXT-Weekday-02,Dickson,0,300226,1,1
32-10534,2020-COMBNXT-Weekday-02,42856997-2020-COMBNXT-Weekday-02,City,0,320048,1,1
31-10534,2020-COMBNXT-Weekday-02,42856998-2020-COMBNXT-Weekday-02,City,0,310249,1,1
30-10534,2020-COMBNXT-Weekday-02,42856999-2020-COMBNXT-Weekday-02,Dickson,0,300226,1,1
43-10534,2020-COMBNXT-Weekday-02,42857000-2020-COMBNXT-Weekday-02,Spence,1,430157,1,1
32-10534,2020-COMBNXT-Weekday-02,42857001-2020-COMBNXT-Weekday-02,City,0,320048,1,1
31-10534,2020-COMBNXT-Weekday-02,42857002-2020-COMBNXT-Weekday-02,City,0,310249,1,1
30-10534,2020-COMBNXT-Weekday-02,42857003-2020-COMBNXT-Weekday-02,Dickson,0,300226,1,1
31-10534,2020-COMBNXT-Weekday-02,42857004-2020-COMBNXT-Weekday-02,City,0,310249,1,1
30-10534,2020-COMBNXT-Weekday-02,42857005-2020-COMBNXT-Weekday-02,Dickson,0,300226,1,1
31-10534,2020-COMBNXT-Weekday-02,42857006-2020-COMBNXT-Weekday-02,City,0,310249,1,1
32-10534,2020-COMBNXT-Weekday-02,42857007-2020-COMBNXT-Weekday-02,City,0,320048,1,1
31-10534,2020-COMBNXT-Weekday-02,42857008-2020-COMBNXT-Weekday-02,City,0,310249,1,1
43-10534,2020-COMBNXT-Weekday-02,42857009-2020-COMBNXT-Weekday-02,Spence,1,430157,1,1
32-10534,2020-COMBNXT-Weekday-02,42857010-2020-COMBNXT-Weekday-02,City,0,320048,1,1
30-10534,2020-COMBNXT-Weekday-02,42857011-2020-COMBNXT-Weekday-02,Dickson,0,300226,1,1
30-10534,2020-COMBNXT-Weekday-02,42857012-2020-COMBNXT-Weekday-02,Dickson,0,300226,1,1
32-10534,2020-COMBNXT-Weekday-02,42857013-2020-COMBNXT-Weekday-02,City,0,320048,1,1
30-10534,2020-COMBNXT-Weekday-02,42857014-2020-COMBNXT-Weekday-02,Dickson,0,300226,1,1
43-10534,2020-COMBNXT-Weekday-02,42857015-2020-COMBNXT-Weekday-02,Spence,1,430157,1,1
31-10534,2020-COMBNXT-Weekday-02,42857016-2020-COMBNXT-Weekday-02,City,0,310249,1,1
31-10534,2020-COMBNXT-Weekday-02,42857017-2020-COMBNXT-Weekday-02,City,0,310249,1,1
32-10534,2020-COMBNXT-Weekday-02,42857018-2020-COMBNXT-Weekday-02,City,0,320048,1,1
43-10534,2020-COMBNXT-Weekday-02,42857019-2020-COMBNXT-Weekday-02,Spence,1,430157,1,1
31-10534,2020-COMBNXT-Weekday-02,42857020-2020-COMBNXT-Weekday-02,City,0,310249,1,1
43-10534,2020-COMBNXT-Weekday-02,42857021-2020-COMBNXT-Weekday-02,Spence,1,430157,1,1
32-10534,2020-COMBNXT-Weekday-02,42857022-2020-COMBNXT-Weekday-02,City,0,320048,1,1
31-10534,2020-COMBNXT-Weekday-02,42857023-2020-COMBNXT-Weekday-02,City,0,310249,1,1
30-10534,2020-COMBNXT-Weekday-02,42857024-2020-COMBNXT-Weekday-02,Dickson,0,300226,1,1
32-10534,2020-COMBNXT-Weekday-02,42857025-2020-COMBNXT-Weekday-02,City,0,320048,1,1
31-10534,2020-COMBNXT-Weekday-02,42857026-2020-COMBNXT-Weekday-02,City,0,310249,1,1
31-10534,2020-COMBNXT-Weekday-02,42857027-2020-COMBNXT-Weekday-02,City,0,310249,1,1
32-10534,2020-COMBNXT-Weekday-02,42857028-2020-COMBNXT-Weekday-02,City,0,320048,1,1
30-10534,2020-COMBNXT-Weekday-02,42857029-2020-COMBNXT-Weekday-02,Dickson,0,300226,1,1
32-10534,2020-COMBNXT-Weekday-02,42857030-2020-COMBNXT-Weekday-02,City,0,320048,1,1
32-10534,2020-COMBNXT-Weekday-02,42857031-2020-COMBNXT-Weekday-02,City,0,320048,1,1
4-10534,2020-COMBNXT-Weekday-02,42857032-2020-COMBNXT-Weekday-02,Tuggeranong,0,40404,1,1
4-10534,2020-COMBNXT-Weekday-02,42857033-2020-COMBNXT-Weekday-02,Tuggeranong,0,40404,1,1
9-10534,2020-COMBNXT-Weekday-02,42857034-2020-COMBNXT-Weekday-02,Watson,0,90180,1,1
8-10534,2020-COMBNXT-Weekday-02,42857035-2020-COMBNXT-Weekday-02,Gungahlin Place,1,80244,1,1
4-10534,2020-COMBNXT-Weekday-02,42857036-2020-COMBNXT-Weekday-02,Tuggeranong,0,40404,1,1
4-10534,2020-COMBNXT-Weekday-02,42857037-2020-COMBNXT-Weekday-02,Tuggeranong,0,40404,1,0
8-10534,2020-COMBNXT-Weekday-02,42857038-2020-COMBNXT-Weekday-02,Gungahlin Place,1,80244,1,1
4-10534,2020-COMBNXT-Weekday-02,42857039-2020-COMBNXT-Weekday-02,Tuggeranong,0,40404,1,1
4-10534,2020-COMBNXT-Weekday-02,42857040-2020-COMBNXT-Weekday-02,Tuggeranong,0,40404,1,0
4-10534,2020-COMBNXT-Weekday-02,42857041-2020-COMBNXT-Weekday-02,Tuggeranong,0,40404,1,0
9-10534,2020-COMBNXT-Weekday-02,42857042-2020-COMBNXT-Weekday-02,Watson,0,90180,1,1
4-10534,2020-COMBNXT-Weekday-02,42857043-2020-COMBNXT-Weekday-02,Tuggeranong,0,40404,1,0
4-10534,2020-COMBNXT-Weekday-02,42857044-2020-COMBNXT-Weekday-02,Tuggeranong,0,40404,1,1
4-10534,2020-COMBNXT-Weekday-02,42857045-2020-COMBNXT-Weekday-02,Tuggeranong,0,40404,1,0
4-10534,2020-COMBNXT-Weekday-02,42857046-2020-COMBNXT-Weekday-02,Tuggeranong,0,40404,1,1
4-10534,2020-COMBNXT-Weekday-02,42857047-2020-COMBNXT-Weekday-02,Tuggeranong,0,40404,1,1
4-10534,2020-COMBNXT-Weekday-02,42857048-2020-COMBNXT-Weekday-02,Tuggeranong,0,40404,1,1
4-10534,2020-COMBNXT-Weekday-02,42857049-2020-COMBNXT-Weekday-02,Tuggeranong,0,40404,1,0
4-10534,2020-COMBNXT-Weekday-02,42857050-2020-COMBNXT-Weekday-02,Tuggeranong,0,40404,1,1
4-10534,2020-COMBNXT-Weekday-02,42857051-2020-COMBNXT-Weekday-02,Tuggeranong,0,40404,1,0
4-10534,2020-COMBNXT-Weekday-02,42857052-2020-COMBNXT-Weekday-02,Tuggeranong,0,40404,1,1
9-10534,2020-COMBNXT-Weekday-02,42857053-2020-COMBNXT-Weekday-02,Watson,0,90180,1,1
4-10534,2020-COMBNXT-Weekday-02,42857054-2020-COMBNXT-Weekday-02,Tuggeranong,0,40404,1,0
